FULL_ADDRESS,Source,Longitude,Latitude
"70 WESTVILLE STREET, Boston, MA",SAM,-71.06908840766842,42.30063043473598
"72 WESTVILLE STREET, Boston, MA",SAM,-71.06905844188151,42.3006375694471
"74 WESTVILLE STREET, Boston, MA",SAM,-71.06902847609459,42.30064470415817
"79 WESTVILLE STREET, Boston, MA",SAM,-71.06923994509336,42.30046917719726
"85 WESTVILLE STREET, Boston, MA",SAM,-71.0689884921006,42.300533841537636
"87 WESTVILLE STREET, Boston, MA",SAM,-71.06893605197351,42.30054632728205
"89 WESTVILLE STREET, Boston, MA",SAM,-71.0688836118464,42.300558813026484
"9 WESTVILLE STREET, Boston, MA",SAM,-71.07189210375421,42.299915657562856
"10 WESTVILLE TERRACE, Boston, MA",SAM,-71.06869279596643,42.30117620814805
"11 WESTVILLE TERRACE, Boston, MA",SAM,-71.06883725611073,42.30113387037579
"3 WESTVILLE TERRACE, Boston, MA",SAM,-71.06885261141382,42.30117048687837
"4 WESTVILLE TERRACE, Boston, MA",SAM,-71.06870455237038,42.3012042426578
"6 WESTVILLE TERRACE, Boston, MA",SAM,-71.06870063356904,42.301194897821205
"14 WESTWOOD STREET, Boston, MA",SAM,-71.07257715696666,42.3086335459054
"15 WESTWOOD STREET, Boston, MA",SAM,-71.0729159610766,42.308380889147635
"34 WESTWOOD STREET, Boston, MA",SAM,-71.07274631332976,42.30838140174138
"46 WILROSE STREET, Boston, MA",SAM,-71.07228389069886,42.307047166389786
"10 WEYANOKE STREET, Boston, MA",SAM,-71.0604969954715,42.2826112156082
"14 WEYANOKE STREET, Boston, MA",SAM,-71.06054723881994,42.2825978173819
"15 WEYANOKE STREET, Boston, MA",SAM,-71.06062129206808,42.2826998775531
"18 WEYANOKE STREET, Boston, MA",SAM,-71.06059748216838,42.2825844191556
"19 WEYANOKE STREET, Boston, MA",SAM,-71.06067051004206,42.28268675276
"2 WEYANOKE STREET, Boston, MA",SAM,-71.06039650877463,42.28263801206077
"22 WEYANOKE STREET, Boston, MA",SAM,-71.0606477255168,42.282571020929325
"25 WEYANOKE STREET, Boston, MA",SAM,-71.06074433700302,42.28266706557035
"28 BUSHNELL STREET, Boston, MA",SAM,-71.06304517644791,42.28476337126916
"5 WEYANOKE STREET, Boston, MA",SAM,-71.06049824713313,42.28273268953581
